variable,x,y
bio15,26.2,1.0
bio15,26.3632,1.0
bio15,26.5264,1.0
bio15,26.6896,1.0
bio15,26.8528,1.0
bio15,27.016,1.0
bio15,27.179199999999998,1.0
bio15,27.342399999999998,1.0
bio15,27.505599999999998,1.0
bio15,27.668799999999997,1.0
bio15,27.832,1.0
bio15,27.9952,1.0
bio15,28.1584,1.0
bio15,28.3216,1.0
bio15,28.4848,1.0
bio15,28.648,1.0
bio15,28.8112,1.0
bio15,28.9744,1.0
bio15,29.1376,1.0
bio15,29.3008,1.0
bio15,29.464,1.0
bio15,29.6272,1.0
bio15,29.790399999999998,1.0
bio15,29.953599999999998,1.0
bio15,30.116799999999998,1.0
bio15,30.279999999999998,1.0
bio15,30.443199999999997,1.0
bio15,30.6064,1.0
bio15,30.769599999999997,1.0
bio15,30.9328,1.0
bio15,31.096,1.0
bio15,31.2592,1.0
bio15,31.4224,1.0
bio15,31.5856,1.0
bio15,31.7488,1.0
bio15,31.912,1.0
bio15,32.075199999999995,1.0
bio15,32.2384,1.0
bio15,32.4016,1.0
bio15,32.5648,1.0
bio15,32.728,1.0
bio15,32.8912,1.0
bio15,33.0544,1.0
bio15,33.2176,1.0
bio15,33.3808,1.0
bio15,33.544,1.0
bio15,33.7072,1.0
bio15,33.8704,1.0
bio15,34.0336,1.0
bio15,34.196799999999996,1.0
bio15,34.36,1.0
bio15,34.523199999999996,1.0
bio15,34.6864,1.0
bio15,34.849599999999995,1.0
bio15,35.0128,1.0
bio15,35.176,1.0
bio15,35.3392,1.0
bio15,35.5024,1.0
bio15,35.6656,1.0
bio15,35.8288,1.0
bio15,35.992,1.0
bio15,36.1552,1.0
bio15,36.3184,1.0
bio15,36.4816,1.0
bio15,36.6448,1.0
bio15,36.808,1.0
bio15,36.971199999999996,1.0
bio15,37.1344,1.0
bio15,37.297599999999996,1.0
bio15,37.4608,1.0
bio15,37.623999999999995,1.0
bio15,37.7872,1.0
bio15,37.9504,1.0
bio15,38.1136,1.0
bio15,38.276799999999994,1.0
bio15,38.44,1.0
bio15,38.6032,1.0
bio15,38.7664,1.0
bio15,38.92959999999999,1.0
bio15,39.0928,1.0
bio15,39.256,1.0
bio15,39.4192,1.0
bio15,39.5824,1.0
bio15,39.745599999999996,1.0
bio15,39.9088,1.0
bio15,40.071999999999996,1.0
bio15,40.2352,1.0
bio15,40.398399999999995,1.0
bio15,40.5616,1.0
bio15,40.7248,1.0
bio15,40.888,1.0
bio15,41.051199999999994,1.0
bio15,41.2144,1.0
bio15,41.3776,1.0
bio15,41.5408,1.0
bio15,41.70399999999999,1.0
bio15,41.8672,1.0
bio15,42.0304,1.0
bio15,42.193599999999996,1.0
bio15,42.3568,1.0
bio15,42.519999999999996,1.0
bio15,42.6832,1.0
bio15,42.846399999999996,1.0
bio15,43.0096,1.0
bio15,43.172799999999995,1.0
bio15,43.336,1.0
bio15,43.499199999999995,1.0
bio15,43.6624,1.0
bio15,43.825599999999994,1.0
bio15,43.9888,1.0
bio15,44.152,1.0
bio15,44.3152,1.0
bio15,44.47839999999999,1.0
bio15,44.6416,1.0
bio15,44.8048,1.0
bio15,44.968,1.0
bio15,45.13119999999999,1.0
bio15,45.294399999999996,1.0
bio15,45.4576,1.0
bio15,45.6208,1.0
bio15,45.784,1.0
bio15,45.947199999999995,1.0
bio15,46.1104,1.0
bio15,46.2736,1.0
bio15,46.4368,1.0
bio15,46.599999999999994,1.0
bio15,46.7632,1.0
bio15,46.9264,1.0
bio15,47.0896,1.0
bio15,47.25279999999999,1.0
bio15,47.416,1.0
bio15,47.5792,1.0
bio15,47.742399999999996,1.0
bio15,47.90559999999999,1.0
bio15,48.068799999999996,1.0
bio15,48.232,1.0
bio15,48.395199999999996,1.0
bio15,48.55839999999999,1.0
bio15,48.721599999999995,1.0
bio15,48.8848,1.0
bio15,49.048,1.0
bio15,49.2112,1.0
bio15,49.374399999999994,1.0
bio15,49.5376,1.0
bio15,49.7008,1.0
bio15,49.864000000000004,1.0
bio15,50.02719999999999,1.0
bio15,50.1904,1.0
bio15,50.3536,1.0
bio15,50.5168,1.0
bio15,50.68,1.0
bio15,50.843199999999996,1.0
bio15,51.0064,1.0
bio15,51.1696,1.0
bio15,51.3328,1.0
bio15,51.495999999999995,1.0
bio15,51.6592,1.0
bio15,51.8224,1.0
bio15,51.9856,1.0
bio15,52.148799999999994,1.0
bio15,52.312,1.0
bio15,52.4752,1.0
bio15,52.6384,1.0
bio15,52.80159999999999,1.0
bio15,52.9648,1.0
bio15,53.128,1.0
bio15,53.291199999999996,1.0
bio15,53.45439999999999,1.0
bio15,53.617599999999996,1.0
bio15,53.7808,1.0
bio15,53.943999999999996,1.0
bio15,54.10719999999999,1.0
bio15,54.270399999999995,1.0
bio15,54.4336,1.0
bio15,54.5968,1.0
bio15,54.75999999999999,1.0
bio15,54.923199999999994,1.0
bio15,55.0864,1.0
bio15,55.2496,1.0
bio15,55.4128,1.0
bio15,55.57599999999999,1.0
bio15,55.7392,1.0
bio15,55.9024,1.0
bio15,56.065599999999996,1.0
bio15,56.2288,1.0
bio15,56.391999999999996,1.0
bio15,56.5552,1.0
bio15,56.718399999999995,1.0
bio15,56.8816,1.0
bio15,57.044799999999995,1.0
bio15,57.208,1.0
bio15,57.371199999999995,1.0
bio15,57.5344,1.0
bio15,57.697599999999994,1.0
bio15,57.8608,1.0
bio15,58.024,1.0
bio15,58.1872,1.0
bio15,58.35039999999999,1.0
bio15,58.5136,1.0
bio15,58.6768,1.0
bio15,58.83999999999999,1.0
bio15,59.00319999999999,1.0
bio15,59.166399999999996,1.0
bio15,59.3296,1.0
bio15,59.49279999999999,1.0
bio15,59.656000000000006,1.0
bio15,59.819199999999995,1.0
bio15,59.9824,1.0
bio15,60.1456,1.0
bio15,60.30879999999999,1.0
bio15,60.471999999999994,1.0
bio15,60.6352,1.0
bio15,60.79839999999999,1.0
bio15,60.961600000000004,1.0
bio15,61.12479999999999,1.0
bio15,61.288,1.0
bio15,61.4512,1.0
bio15,61.61439999999999,1.0
bio15,61.77759999999999,1.0
bio15,61.940799999999996,1.0
bio15,62.104,1.0
bio15,62.2672,1.0
bio15,62.43039999999999,1.0
bio15,62.593599999999995,1.0
bio15,62.7568,1.0
bio15,62.92,1.0
bio15,63.08319999999999,1.0
bio15,63.246399999999994,1.0
bio15,63.4096,1.0
bio15,63.5728,1.0
bio15,63.736000000000004,1.0
bio15,63.89919999999999,1.0
bio15,64.0624,1.0
bio15,64.2256,1.0
bio15,64.38879999999999,1.0
bio15,64.55199999999999,1.0
bio15,64.7152,1.0
bio15,64.8784,1.0
bio15,65.0416,1.0
bio15,65.20479999999999,1.0
bio15,65.368,1.0
bio15,65.5312,1.0
bio15,65.69439999999999,1.0
bio15,65.85759999999999,1.0
bio15,66.0208,1.0
bio15,66.184,1.0
bio15,66.3472,1.0
bio15,66.51039999999999,1.0
bio15,66.6736,1.0
bio15,66.8368,1.0
bio15,67.0,1.0
bio15,67.1632,1.0
bio15,67.32639999999999,1.0
bio15,67.4896,1.0
bio15,67.6528,1.0
bio15,67.816,1.0
bio15,67.97919999999999,1.0
bio15,68.1424,1.0
bio15,68.3056,1.0
bio15,68.4688,1.0
bio15,68.632,1.0
bio15,68.7952,1.0
bio15,68.9584,1.0
bio15,69.1216,1.0
bio15,69.28479999999999,1.0
bio15,69.448,1.0
bio15,69.6112,1.0
bio15,69.7744,1.0
bio15,69.9376,1.0
bio15,70.10079999999999,1.0
bio15,70.264,1.0
bio15,70.4272,1.0
bio15,70.59039999999999,1.0
bio15,70.75359999999999,1.0
bio15,70.9168,1.0
bio15,71.08,1.0
bio15,71.2432,1.0
bio15,71.40639999999999,1.0
bio15,71.5696,1.0
bio15,71.7328,1.0
bio15,71.896,1.0
bio15,72.05919999999999,1.0
bio15,72.2224,1.0
bio15,72.3856,1.0
bio15,72.5488,1.0
bio15,72.712,1.0
bio15,72.87519999999999,1.0
bio15,73.0384,1.0
bio15,73.2016,1.0
bio15,73.36479999999999,1.0
bio15,73.528,1.0
bio15,73.6912,1.0
bio15,73.8544,1.0
bio15,74.0176,1.0
bio15,74.18079999999999,1.0
bio15,74.344,1.0
bio15,74.5072,1.0
bio15,74.67039999999999,1.0
bio15,74.8336,1.0
bio15,74.9968,1.0
bio15,75.16,1.0
bio15,75.3232,1.0
bio15,75.48639999999999,1.0
bio15,75.64959999999999,1.0
bio15,75.8128,1.0
bio15,75.976,1.0
bio15,76.1392,1.0
bio15,76.30239999999999,1.0
bio15,76.4656,1.0
bio15,76.6288,1.0
bio15,76.792,1.0
bio15,76.95519999999999,1.0
bio15,77.1184,1.0
bio15,77.2816,1.0
bio15,77.4448,1.0
bio15,77.608,1.0
bio15,77.7712,1.0
bio15,77.9344,1.0
bio15,78.0976,1.0
bio15,78.26079999999999,1.0
bio15,78.42399999999999,1.0
bio15,78.5872,1.0
bio15,78.7504,1.0
bio15,78.9136,1.0
bio15,79.07679999999999,1.0
bio15,79.24,1.0
bio15,79.4032,1.0
bio15,79.56639999999999,1.0
bio15,79.7296,1.0
bio15,79.8928,1.0
bio15,80.056,1.0
bio15,80.2192,1.0
bio15,80.38239999999999,1.0
bio15,80.5456,1.0
bio15,80.7088,1.0
bio15,80.87199999999999,1.0
bio15,81.0352,1.0
bio15,81.19839999999999,1.0
bio15,81.3616,1.0
bio15,81.5248,1.0
bio15,81.68799999999999,1.0
bio15,81.85119999999999,1.0
bio15,82.0144,1.0
bio15,82.1776,1.0
bio15,82.3408,1.0
bio15,82.50399999999999,1.0
bio15,82.6672,1.0
bio15,82.8304,1.0
bio15,82.9936,1.0
bio15,83.15679999999999,1.0
bio15,83.32,1.0
bio15,83.4832,1.0
bio15,83.6464,1.0
bio15,83.8096,1.0
bio15,83.97279999999999,1.0
bio15,84.136,1.0
bio15,84.2992,1.0
bio15,84.46239999999999,1.0
bio15,84.62559999999999,1.0
bio15,84.7888,1.0
bio15,84.952,1.0
bio15,85.1152,1.0
bio15,85.27839999999999,1.0
bio15,85.4416,1.0
bio15,85.6048,1.0
bio15,85.76799999999999,1.0
bio15,85.93119999999999,1.0
bio15,86.0944,1.0
bio15,86.2576,1.0
bio15,86.4208,1.0
bio15,86.58399999999999,1.0
bio15,86.74719999999999,1.0
bio15,86.9104,1.0
bio15,87.0736,1.0
bio15,87.23679999999999,1.0
bio15,87.39999999999999,1.0
bio15,87.5632,1.0
bio15,87.7264,1.0
bio15,87.8896,1.0
bio15,88.05279999999999,1.0
bio15,88.216,1.0
bio15,88.3792,1.0
bio15,88.54239999999999,1.0
bio15,88.7056,1.0
bio15,88.8688,1.0
bio15,89.032,1.0
bio15,89.1952,1.0
bio15,89.35839999999999,1.0
bio15,89.52159999999999,1.0
bio15,89.6848,1.0
bio15,89.848,1.0
bio15,90.0112,1.0
bio15,90.17439999999999,1.0
bio15,90.3376,1.0
bio15,90.5008,1.0
bio15,90.664,1.0
bio15,90.8272,1.0
bio15,90.9904,1.0
bio15,91.1536,1.0
bio15,91.3168,1.0
bio15,91.47999999999999,1.0
bio15,91.6432,1.0
bio15,91.8064,1.0
bio15,91.9696,1.0
bio15,92.13279999999999,1.0
bio15,92.296,1.0
bio15,92.4592,1.0
bio15,92.6224,1.0
bio15,92.78559999999999,1.0
bio15,92.94879999999999,1.0
bio15,93.11200000000001,1.0
bio15,93.2752,1.0
bio15,93.4384,1.0
bio15,93.60159999999999,1.0
bio15,93.7648,1.0
bio15,93.928,1.0
bio15,94.0912,1.0
bio15,94.2544,1.0
bio15,94.4176,1.0
bio15,94.5808,1.0
bio15,94.744,1.0
bio15,94.9072,1.0
bio15,95.07039999999999,1.0
bio15,95.2336,1.0
bio15,95.39679999999998,1.0
bio15,95.56,1.0
bio15,95.7232,1.0
bio15,95.8864,1.0
bio15,96.0496,1.0
bio15,96.21279999999999,1.0
bio15,96.376,1.0
bio15,96.5392,1.0
bio15,96.7024,1.0
bio15,96.8656,1.0
bio15,97.02879999999999,1.0
bio15,97.19200000000001,1.0
bio15,97.3552,1.0
bio15,97.5184,1.0
bio15,97.68159999999999,1.0
bio15,97.84479999999999,1.0
bio15,98.00800000000001,1.0
bio15,98.1712,1.0
bio15,98.3344,1.0
bio15,98.49759999999999,1.0
bio15,98.6608,1.0
bio15,98.824,1.0
bio15,98.9872,1.0
bio15,99.15039999999999,1.0
bio15,99.3136,1.0
bio15,99.4768,1.0
bio15,99.64,1.0
bio15,99.8032,1.0
bio15,99.9664,1.0
bio15,100.1296,1.0
bio15,100.29279999999999,1.0
bio15,100.456,1.0
bio15,100.6192,1.0
bio15,100.7824,1.0
bio15,100.9456,1.0
bio15,101.10879999999999,1.0
bio15,101.272,1.0
bio15,101.4352,1.0
bio15,101.5984,1.0
bio15,101.76159999999999,1.0
bio15,101.92479999999999,1.0
bio15,102.08800000000001,1.0
bio15,102.2512,1.0
