variable,x,y
HFP2009,-4.4,1.0
HFP2009,-4.2944,1.0
HFP2009,-4.1888000000000005,1.0
HFP2009,-4.083200000000001,1.0
HFP2009,-3.9776000000000002,1.0
HFP2009,-3.8720000000000003,1.0
HFP2009,-3.7664000000000004,1.0
HFP2009,-3.6608000000000005,1.0
HFP2009,-3.5552,1.0
HFP2009,-3.4496,1.0
HFP2009,-3.3440000000000003,1.0
HFP2009,-3.2384000000000004,1.0
HFP2009,-3.1328000000000005,1.0
HFP2009,-3.0272000000000006,1.0
HFP2009,-2.9216000000000006,1.0
HFP2009,-2.8160000000000003,1.0
HFP2009,-2.7104000000000004,1.0
HFP2009,-2.6048000000000004,1.0
HFP2009,-2.4992,1.0
HFP2009,-2.3936000000000006,1.0
HFP2009,-2.2880000000000003,1.0
HFP2009,-2.1824000000000003,1.0
HFP2009,-2.0768000000000004,1.0
HFP2009,-1.9712000000000005,1.0
HFP2009,-1.8656000000000006,1.0
HFP2009,-1.7600000000000002,1.0
HFP2009,-1.6544000000000003,1.0
HFP2009,-1.5488000000000004,1.0
HFP2009,-1.4432000000000005,1.0
HFP2009,-1.3376000000000006,1.0
HFP2009,-1.2320000000000002,1.0
HFP2009,-1.1264000000000003,1.0
HFP2009,-1.0208000000000004,1.0
HFP2009,-0.9152000000000005,1.0
HFP2009,-0.8096000000000005,1.0
HFP2009,-0.7040000000000002,1.0
HFP2009,-0.5984000000000003,1.0
HFP2009,-0.49280000000000035,1.0
HFP2009,-0.3872000000000009,1.0
HFP2009,-0.28160000000000096,1.0
HFP2009,-0.17600000000000016,1.0
HFP2009,-0.07040000000000113,1.0
HFP2009,0.035199999999999676,1.0
HFP2009,0.1407999999999996,1.0
HFP2009,0.2463999999999995,1.0
HFP2009,0.3519999999999994,1.0
HFP2009,0.45759999999999934,1.0
HFP2009,0.5631999999999993,1.0
HFP2009,0.6687999999999992,1.0
HFP2009,0.7743999999999991,1.0
HFP2009,0.8799999999999999,1.0
HFP2009,0.9855999999999989,1.0
HFP2009,1.0911999999999997,1.0
HFP2009,1.1967999999999988,1.0
HFP2009,1.3023999999999996,1.0
HFP2009,1.4079999999999995,1.0
HFP2009,1.5135999999999994,1.0
HFP2009,1.6191999999999993,1.0
HFP2009,1.7247999999999992,1.0
HFP2009,1.8303999999999991,1.0
HFP2009,1.936,1.0
HFP2009,2.041599999999999,1.0
HFP2009,2.1471999999999998,1.0
HFP2009,2.252799999999999,1.0
HFP2009,2.3583999999999996,1.0
HFP2009,2.4639999999999995,1.0
HFP2009,2.5695999999999994,1.0
HFP2009,2.6751999999999994,1.0
HFP2009,2.7807999999999993,1.0
HFP2009,2.886399999999999,1.0
HFP2009,2.992,1.0
HFP2009,3.097599999999999,1.0
HFP2009,3.2032,1.0
HFP2009,3.308799999999999,1.0
HFP2009,3.4143999999999997,1.0
HFP2009,3.5199999999999996,1.0
HFP2009,3.6255999999999986,1.0
HFP2009,3.7311999999999994,1.0
HFP2009,3.8367999999999984,1.0
HFP2009,3.9423999999999992,1.0
HFP2009,4.048,1.0
HFP2009,4.153600000000001,1.0
HFP2009,4.259199999999998,1.0
HFP2009,4.364799999999999,1.0
HFP2009,4.4704,1.0
HFP2009,4.5760000000000005,1.0
HFP2009,4.6815999999999995,1.0
HFP2009,4.787199999999999,1.0
HFP2009,4.892799999999999,1.0
HFP2009,4.998399999999998,1.0
HFP2009,5.103999999999999,1.0
HFP2009,5.2096,1.0
HFP2009,5.315199999999999,1.0
HFP2009,5.420799999999998,1.0
HFP2009,5.526399999999999,1.0
HFP2009,5.632,1.0
HFP2009,5.737599999999999,1.0
HFP2009,5.843199999999998,1.0
HFP2009,5.9487999999999985,1.0
HFP2009,6.054399999999999,1.0
HFP2009,6.16,1.0
HFP2009,6.265599999999997,1.0
HFP2009,6.371199999999998,1.0
HFP2009,6.476799999999999,1.0
HFP2009,6.5824,1.0
HFP2009,6.687999999999999,1.0
HFP2009,6.793599999999998,1.0
HFP2009,6.899199999999999,1.0
HFP2009,7.0047999999999995,1.0
HFP2009,7.1103999999999985,1.0
HFP2009,7.215999999999999,1.0
HFP2009,7.321599999999998,1.0
