variable,x,y
Railways,-0.8,1.0
Railways,-0.7808,1.0
Railways,-0.7616,1.0
Railways,-0.7424000000000001,1.0
Railways,-0.7232000000000001,1.0
Railways,-0.7040000000000001,1.0
Railways,-0.6848000000000001,1.0
Railways,-0.6656,1.0
Railways,-0.6464000000000001,1.0
Railways,-0.6272,1.0
Railways,-0.608,1.0
Railways,-0.5888,1.0
Railways,-0.5696,1.0
Railways,-0.5504,1.0
Railways,-0.5311999999999999,1.0
Railways,-0.512,1.0
Railways,-0.4928,1.0
Railways,-0.4736,1.0
Railways,-0.4544,1.0
Railways,-0.4352,1.0
Railways,-0.416,1.0
Railways,-0.3968,1.0
Railways,-0.37759999999999994,1.0
Railways,-0.35839999999999994,1.0
Railways,-0.3392,1.0
Railways,-0.32,1.0
Railways,-0.3008,1.0
Railways,-0.28159999999999996,1.0
Railways,-0.26239999999999986,1.0
Railways,-0.24319999999999997,1.0
Railways,-0.22399999999999998,1.0
Railways,-0.20479999999999998,1.0
Railways,-0.1856,1.0
Railways,-0.16639999999999988,1.0
Railways,-0.1472,1.0
Railways,-0.1279999999999999,1.0
Railways,-0.10880000000000001,1.0
Railways,-0.0895999999999999,1.0
Railways,-0.07039999999999991,1.0
Railways,-0.05120000000000002,1.0
Railways,-0.03199999999999992,1.0
Railways,-0.012799999999999923,1.0
Railways,0.006400000000000072,1.0
Railways,0.025600000000000067,1.0
Railways,0.04480000000000017,1.0
Railways,0.06400000000000006,1.0
Railways,0.08320000000000016,1.0
Railways,0.10240000000000005,1.0
Railways,0.12160000000000004,1.0
Railways,0.14080000000000015,1.0
Railways,0.16000000000000003,1.0
Railways,0.17920000000000014,1.0
Railways,0.19840000000000002,1.0
Railways,0.21760000000000002,1.0
Railways,0.23680000000000012,1.0
Railways,0.2560000000000002,1.0
Railways,0.27520000000000033,1.0
Railways,0.2944,1.0
Railways,0.3136000000000001,1.0
Railways,0.3328000000000002,1.0
Railways,0.3520000000000001,1.0
Railways,0.3712000000000002,1.0
Railways,0.3904000000000001,1.0
Railways,0.4096000000000002,1.0
Railways,0.42880000000000007,1.0
Railways,0.4480000000000002,1.0
Railways,0.4672000000000003,1.0
Railways,0.48639999999999994,1.0
Railways,0.5056,1.0
Railways,0.5248000000000002,1.0
Railways,0.5440000000000003,1.0
Railways,0.5632000000000001,1.0
Railways,0.5824,1.0
Railways,0.6016000000000001,1.0
Railways,0.6208000000000002,1.0
Railways,0.6400000000000001,1.0
Railways,0.6592000000000002,1.0
Railways,0.6784000000000003,1.0
Railways,0.6976,1.0
Railways,0.7168000000000001,1.0
Railways,0.7360000000000002,1.0
Railways,0.7552000000000003,1.0
Railways,0.7744000000000002,1.0
Railways,0.7936000000000001,1.0
Railways,0.8128000000000002,1.0
Railways,0.8320000000000001,1.0
Railways,0.8512000000000002,1.0
Railways,0.8704000000000003,1.0
Railways,0.8896000000000004,1.0
Railways,0.9088,1.0
Railways,0.9280000000000002,1.0
Railways,0.9472000000000003,1.0
Railways,0.9664000000000004,1.0
Railways,0.9856000000000003,1.0
Railways,1.0048000000000001,1.0
Railways,1.0240000000000002,1.0
Railways,1.0432000000000001,1.0
Railways,1.0624000000000002,1.0
Railways,1.0816000000000003,1.0
Railways,1.1008000000000002,1.0
Railways,1.12,1.0
Railways,1.1392000000000002,1.0
Railways,1.1584000000000003,1.0
Railways,1.1776000000000004,1.0
Railways,1.1968,1.0
Railways,1.216,1.0
Railways,1.2352,1.0
Railways,1.2544000000000002,1.0
Railways,1.2736000000000003,1.0
Railways,1.2928,1.0
Railways,1.3120000000000005,1.0
Railways,1.3312000000000002,1.0
Railways,1.3504000000000007,1.0
Railways,1.3696000000000004,1.0
Railways,1.3888,1.0
Railways,1.4080000000000006,1.0
Railways,1.4272000000000002,1.0
Railways,1.4464000000000004,1.0
Railways,1.4656000000000005,1.0
Railways,1.4848000000000001,1.0
Railways,1.5040000000000002,1.0
Railways,1.5232000000000003,1.0
Railways,1.5424000000000004,1.0
Railways,1.5616,1.0
Railways,1.5808000000000002,1.0
Railways,1.6000000000000003,1.0
Railways,1.6192000000000004,1.0
Railways,1.6384000000000005,1.0
Railways,1.6576000000000002,1.0
Railways,1.6768000000000003,1.0
Railways,1.6960000000000004,1.0
Railways,1.7152,1.0
Railways,1.7344000000000006,1.0
Railways,1.7536000000000003,1.0
Railways,1.7728,1.0
Railways,1.7920000000000005,1.0
Railways,1.8112000000000001,1.0
Railways,1.8304000000000007,1.0
Railways,1.8496000000000004,1.0
Railways,1.8688,1.0
Railways,1.8880000000000006,1.0
Railways,1.9072000000000002,1.0
Railways,1.9264000000000003,1.0
Railways,1.9456000000000004,1.0
Railways,1.9648,1.0
Railways,1.9840000000000002,1.0
Railways,2.0032000000000005,1.0
Railways,2.0224,1.0
Railways,2.0416000000000007,1.0
Railways,2.0608000000000004,1.0
Railways,2.08,1.0
Railways,2.0992000000000006,1.0
Railways,2.1184000000000003,1.0
Railways,2.1376,1.0
Railways,2.1568000000000005,1.0
Railways,2.176,1.0
Railways,2.1952,1.0
Railways,2.2144000000000004,1.0
Railways,2.2336,1.0
Railways,2.2528000000000006,1.0
Railways,2.2720000000000002,1.0
Railways,2.2912,1.0
Railways,2.3104000000000005,1.0
Railways,2.3296,1.0
Railways,2.3488000000000007,1.0
Railways,2.3680000000000003,1.0
Railways,2.3872,1.0
Railways,2.4064000000000005,1.0
Railways,2.4256,1.0
Railways,2.4448000000000008,1.0
Railways,2.4640000000000004,1.0
Railways,2.4832,1.0
Railways,2.5024000000000006,1.0
Railways,2.5216000000000003,1.0
Railways,2.540800000000001,1.0
Railways,2.5600000000000005,1.0
Railways,2.579200000000001,1.0
Railways,2.5984000000000007,1.0
Railways,2.6176000000000004,1.0
Railways,2.636800000000001,1.0
Railways,2.6560000000000006,1.0
Railways,2.6752000000000002,1.0
Railways,2.694400000000001,1.0
Railways,2.7136000000000005,1.0
Railways,2.732800000000001,1.0
Railways,2.7520000000000007,1.0
Railways,2.7712000000000003,1.0
Railways,2.790400000000001,1.0
Railways,2.8096000000000005,1.0
Railways,2.8288,1.0
Railways,2.8480000000000008,1.0
Railways,2.8672000000000004,1.0
Railways,2.8864,1.0
Railways,2.9056000000000006,1.0
Railways,2.9248000000000003,1.0
Railways,2.944000000000001,1.0
Railways,2.9632000000000005,1.0
Railways,2.9824,1.0
Railways,3.0016000000000007,1.0
Railways,3.0208000000000004,1.0
Railways,3.04,1.0
Railways,3.0592000000000006,1.0
Railways,3.0784000000000002,1.0
Railways,3.0976,1.0
Railways,3.1168000000000005,1.0
Railways,3.136,1.0
Railways,3.1552000000000007,1.0
Railways,3.1744000000000003,1.0
Railways,3.1936,1.0
Railways,3.2128000000000005,1.0
Railways,3.232,1.0
Railways,3.2512000000000008,1.0
Railways,3.2704000000000004,1.0
Railways,3.289600000000001,1.0
Railways,3.3088000000000006,1.0
Railways,3.328000000000001,1.0
Railways,3.347200000000001,1.0
Railways,3.3664000000000005,1.0
Railways,3.3856,1.0
Railways,3.4048000000000007,1.0
Railways,3.4240000000000013,1.0
Railways,3.443200000000001,1.0
Railways,3.4624000000000006,1.0
Railways,3.4816000000000003,1.0
Railways,3.5008000000000017,1.0
Railways,3.5200000000000014,1.0
Railways,3.539200000000001,1.0
Railways,3.5584000000000007,1.0
Railways,3.5776000000000003,1.0
Railways,3.596800000000001,1.0
Railways,3.6160000000000014,1.0
Railways,3.635200000000001,1.0
Railways,3.6544000000000008,1.0
Railways,3.6736000000000004,1.0
Railways,3.692800000000001,1.0
Railways,3.7120000000000015,1.0
Railways,3.731200000000001,1.0
Railways,3.750400000000001,1.0
Railways,3.7696000000000005,1.0
Railways,3.788800000000001,1.0
