variable,x,y
Built2009,-1.0,1.0
Built2009,-0.988,1.0
Built2009,-0.976,1.0
Built2009,-0.964,1.0
Built2009,-0.952,1.0
Built2009,-0.94,1.0
Built2009,-0.928,1.0
Built2009,-0.916,1.0
Built2009,-0.904,1.0
Built2009,-0.892,1.0
Built2009,-0.88,1.0
Built2009,-0.868,1.0
Built2009,-0.856,1.0
Built2009,-0.844,1.0
Built2009,-0.832,1.0
Built2009,-0.8200000000000001,1.0
Built2009,-0.808,1.0
Built2009,-0.796,1.0
Built2009,-0.784,1.0
Built2009,-0.772,1.0
Built2009,-0.76,1.0
Built2009,-0.748,1.0
Built2009,-0.736,1.0
Built2009,-0.724,1.0
Built2009,-0.712,1.0
Built2009,-0.7,1.0
Built2009,-0.688,1.0
Built2009,-0.6759999999999999,1.0
Built2009,-0.6639999999999999,1.0
Built2009,-0.652,1.0
Built2009,-0.64,1.0
Built2009,-0.628,1.0
Built2009,-0.616,1.0
Built2009,-0.604,1.0
Built2009,-0.5920000000000001,1.0
Built2009,-0.5800000000000001,1.0
Built2009,-0.5680000000000001,1.0
Built2009,-0.556,1.0
Built2009,-0.544,1.0
Built2009,-0.532,1.0
Built2009,-0.52,1.0
Built2009,-0.508,1.0
Built2009,-0.496,1.0
Built2009,-0.484,1.0
Built2009,-0.472,1.0
Built2009,-0.45999999999999996,1.0
Built2009,-0.44799999999999995,1.0
Built2009,-0.43600000000000005,1.0
Built2009,-0.42400000000000004,1.0
Built2009,-0.41200000000000003,1.0
Built2009,-0.4,1.0
Built2009,-0.388,1.0
Built2009,-0.376,1.0
Built2009,-0.364,1.0
Built2009,-0.352,1.0
Built2009,-0.33999999999999997,1.0
Built2009,-0.32799999999999996,1.0
Built2009,-0.31599999999999995,1.0
Built2009,-0.30400000000000005,1.0
Built2009,-0.29200000000000004,1.0
Built2009,-0.28,1.0
Built2009,-0.268,1.0
Built2009,-0.256,1.0
Built2009,-0.244,1.0
Built2009,-0.23199999999999998,1.0
Built2009,-0.21999999999999997,1.0
Built2009,-0.20799999999999996,1.0
Built2009,-0.19599999999999995,1.0
Built2009,-0.18400000000000005,1.0
Built2009,-0.17200000000000004,1.0
Built2009,-0.16000000000000003,1.0
Built2009,-0.14800000000000002,1.0
Built2009,-0.136,1.0
Built2009,-0.124,1.0
Built2009,-0.11199999999999999,1.0
Built2009,-0.09999999999999998,1.0
Built2009,-0.08799999999999997,1.0
Built2009,-0.07599999999999996,1.0
Built2009,-0.06399999999999995,1.0
Built2009,-0.052000000000000046,1.0
Built2009,-0.040000000000000036,1.0
Built2009,-0.028000000000000025,1.0
Built2009,-0.016000000000000014,1.0
Built2009,-0.0040000000000000036,1.0
Built2009,0.008000000000000007,1.0
Built2009,0.020000000000000018,1.0
Built2009,0.03200000000000003,1.0
Built2009,0.04400000000000004,1.0
Built2009,0.05600000000000005,1.0
Built2009,0.06800000000000006,1.0
Built2009,0.08000000000000007,1.0
Built2009,0.09200000000000008,1.0
Built2009,0.10400000000000009,1.0
Built2009,0.1160000000000001,1.0
Built2009,0.1279999999999999,1.0
Built2009,0.1399999999999999,1.0
